CÓDIGO OACI,COMPRIMENTO_MAX,LATITUDE,LONGITUDE
SBAA,5905.511811023622,-8.348611111111111,-49.30305555555555
SBAE,6594.488188976377,-22.157777777777778,-49.068333333333335
SBAQ,5905.511811023622,-21.804444444444446,-48.140277777777776
SBAR,7217.847769028871,-10.985277777777776,-37.07333333333334
SBAT,8202.099737532808,-9.866388888888888,-56.105000000000004
SBAU,6955.380577427821,-21.144166666666667,-50.42638888888889
SBAX,6233.595800524934,-19.560555555555556,-46.96555555555556
SBBE,9186.351706036745,-1.3847222222222222,-48.47888888888889
SBBG,4921.259842519685,-31.390833333333333,-54.109722222222224
SBBH,7755.905511811024,-19.851944444444445,-43.95055555555556
SBBI,4560.367454068241,-25.403333333333332,-49.23361111111111
SBBP,3937.007874015748,-22.979166666666664,-46.5375
SBBR,10826.771653543306,-15.871111111111112,-47.91861111111111
SBBU,4924.540682414698,-22.34361111111111,-49.053888888888885
SBBV,8858.267716535433,2.841388888888889,-60.69222222222222
SBBW,5242.7821522309705,-15.860833333333334,-52.38944444444444
SBCA,5298.556430446194,-25.002222222222223,-53.50194444444445
SBCB,8366.141732283464,-22.92138888888889,-42.07166666666667
SBCD,5331.364829396325,-26.789722222222224,-50.939722222222215
SBCF,9842.51968503937,-19.624444444444446,-43.971944444444446
SBCG,8530.18372703412,-20.46944444444444,-54.67027777777778
SBCH,6768.372703412073,-27.133888888888887,-52.661944444444444
SBCI,5905.511811023622,-7.320555555555555,-47.45861111111111
SBCJ,6561.679790026246,-6.115277777777777,-50.00138888888889
SSIM,4891.7322834645665,-28.724444444444444,-49.421388888888885
SBCN,6889.763779527559,-17.72472222222222,-48.61
SBCP,5065.616797900262,-21.70111111111111,-41.30777777777777
SBCR,4921.259842519685,-19.011944444444445,-57.671388888888885
SBCT,7276.902887139107,-25.531666666666666,-49.17611111111111
SSCV,5019.685039370079,-17.650555555555552,-39.254444444444445
SBCX,5479.002624671915,-29.195555555555554,-51.189722222222215
SBCY,7545.931758530183,-15.65,-56.1175
SSCL,3546.587926509186,-19.146944444444443,-51.67638888888889
SBDB,6561.679790026246,-21.247222222222224,-56.4525
SBDN,6889.763779527559,-22.178333333333335,-51.41888888888889
SBDO,6397.63779527559,-22.200555555555553,-54.925555555555555
